"","QRP1","QRP2","QRP3","QRP4","QRP5","QRP6","QRP7","QRP8","QRP9","QRP10","QRPgeneral"
"327","The issue here is that studies with insignificant or inconclusive findings are hard to publish, so are often not reported. Of course, it would be better if we published all studies' findings (at least somehow), and, more importantly designed studies in the first place to have the statistical power to detect the effects we are interested in.","Transparency. Covariates that may influence the response variable can be tested and removed from the models, but that process should be reported clearly in the methods section.","This is poor statistics but has often been forced on me by senior co-authors and editors/reviewers.","There is always more than one way to analyse any dataset. Being wedded to any single statistical method is equally as inappropriate as trying them all until one yields the results one wants. A good and fair analysis should be willing to throw away models based on how well the data meet the model assumptions, but crucially this decision should NOT be made based on the significance of model variables. ","The p-value should be presented in full, or with the corresponding value of the test statistic. Although the author writing the paper selected the alpha value a priori, printing the raw p-value would not actually diminish the findings, except for not being able to use the words ""statistically significant.""","While data should never be removed to increase significance, it is extremely good practice to remove data points that are evidently outliers and could lead to falsely significant results","This practice is acceptable in cases where the first dataset may function more as a pilot study.  The researcher may have a) limited funds/resources and/or b) limited understanding of sample variability and upon collection of an initial dataset that is statistically insignificant, have a better understanding of the sample size required to obtain sufficient statistical power.  ","Used it because results were contradictory with biological facts. Did it after additional thinking about the adequatie of the method used first. / have no idea on how other collegues proceed. so left the % on 0 ",NA,NA,NA
"328","The more tests you perform the higher your chances of getting significant results by chance. Also negative results may also be interesting.","Two reasons. (1) It leads to publication bias and (2) for multi-covariate analyses, it is often better to use information-theoretic approaches (i.e. no hypothesis / significance testing in any case.","this is post-hoc story telling, which is fine if it is describe as such, by making the prediction and then shown the result is much more sexy.","There is no one approach to analyzing a relationship between a set of variables (e.g. regression, vs maximum likelihood models vs ordination, etc). Sometimes it takes some trial and error to figure out the best approach for a given data set. Similarly in field data independent variables are not always truly independent from each other and one needs to run some analyses to figure out which of two or more correlated variables to include (e.g in a habitat model do you use maximum daily temp or average daily temperature).  Given the emphasis put on brevity in academic journals, one should report only the most insightful analyses, although one should ideally mention in the methods section that others were tried and give the reason why the one reported was chosen for the final analysis. ","The rounding is trivial. But the underlying assumption that a specific p-value threshold determines 'significance' is highly troublesome.","While some of the reasons for excluding the points may be legitimate, this ultimately devolves into p-hacking.","This practice is problematic as it increases the risk of Type 1 error and publication bias.","Usually if a simple model does not fit well I would develop a more complex one with covariates ",NA,NA,NA
"329","The problem is word limits that prevent a complete discussion of all the tests applied ","Under a framework of hypothesis testing it should always be reported. However in some modelling studies it is normal (and legitimate in my opinion) to do some data exploration which is not reported in the final article.","This is post hoc generation of hypotheses & predictions. It's poor experimental design.","There is no reason to limit data analysis in this day and age, with functionally unlimited capacity to report and store online data and analyses via Supplementary Material for most journals. Selectively reporting statistical models should only be done in a transparent manner (i.e. state that you have only shown one model even though others were tested and justify this approach). ","The threshold is a thumb rule anyway. So no point in rounding it off. That is stupid.","Why not save time and money and just make up all the data? Terrible, terrible practice. Only the most banal of human detritus would do this. ","This practice leads to statistical significance overshadowing effect sizes and biological significance. A tiny effect size will be significant with enough data collected but may not be biologically that relevant.","Usually if the original analysis doesn't come up with strong results/patterns subsequent analyses won't either- it's a practice I have abandoned. ",NA,NA,NA
"330","The problem with this is that reporting negative results is quite difficult to achieve as editors and journals are reluctant to stop at the negative result and is always looking for alternative explanations which in practice push researchers to publish only consistent data","Unsignificant results are also results. ","This is tricky - finding an unexpected result can be genuine eureka moment of great insight. / However, in my experience, these findings can also represent genuine errors in recording or analysis. /  / I think unexpected findings, that appear to be genuine from the dataset collected, should be reported. However, the results should really be verified with future additional follow-up studies. Perhaps that unusual finding did occur, but it was extremely rare, and perhaps not meaningful from a population perspective. /  / I think there is a problem in ecology where the 'sexy' findings are promoted, and they often find their way into high ranking journals. Other solid pieces of work often languish in 'specialist' journals.    / Open access journals which do not accept on the basis of the 'significance' of the findings is starting to change this problem - in saying that, I don't think one would get in Nature with a 'solid but unsurprising result'.","There should be complete transparency and repeatability in any analytical work. It is normal to try out a set of different models but you would report the fact that you had done this, and not hide it","The threshold isn't important - it doesn't matter if the p value is 0.056 or 0.053 - because the statistical meaning is essentially the same (i.e. if you ran the experiment 100 times, assuming the null distribution, you would get the observed result 5.6% or 5.3% of the time, respectively). However some reviewers or editors may stick to the old idea of 0.05 being an important cut-off. ","Will bias results ","This practice should not be used because the meaning of the p-value is then denaturated.","Usually, all statistical tests are required to be reported by reviewers (particularly those commonly used in the field). Therefore, I think it is acceptable to try multiple different statistical tests - none of which is a panacea - as long as all of the results are reported and evaluated in the discussion. I do not agree that a test should simply be replaced by another (it was difficult to capture this nuance in the (a-c) answers of this question.",NA,NA,NA
"331","The proper question isn't whether or not it SHOULD be used, but rather when does it make sense to use it and how is the information that it is used described in the article.  p-values have limited meaning and obsession about their use can be counter productive.  ","Using significance testing for model selection is not good in the first place, and again one should report what one did. ","This is tricky. Again, reviewers want you to go back and add different variables to your existing models, test new models and theory, etc. So, while one may have principles of best methodological and statistical practice, several rounds of review and the need to publish often trump the best of intentions. And in some cases, it may be a year or two from the time when a manuscript is first submitted to one journal to when it is actually accepted in the third or fourth journal. None of the coauthors remember what the initial version was like.","this approach should only be used when the other (unused) models were discarded because they weren't appropriate analysis tools. ","The threshold of 0.05 is human-made. Reporting the actual value lets the reader decide on the statistical support. ","you can't pick and choose which data to include","this practice would arise when sample size calculations cannot be reliably done before undertaking the study (in order to calculate power) through a lack of knowledge of the system.  This is unlikely to occur when studies are funded through time limited grants - there simply is not enough money to do this.   / I am involved in several long-term studies and we undertake analysis and publish results when funds become available for this.  It is a consideration of funding more than statistical significance that dictates when write-ups occur.","usually, I do this if the results are close. Sometimes I see if different data transformations that BOTH make the data more normal and provide a better model fit are useful, especially if our p-values are circling 0.10 with raw data. ",NA,NA,NA
"332","The question is ambiguous. I suspect you mean publishing work but failing to report results or variables that didn't reach significance. This is BAD because it's concealing the truth and will bias the literature. However the question could also be interpreted as failing to publish an entire study where nothing reaches significance -- this is bad, and leads to the file drawer problem, but you may have no choice if journals reject your paper because they have their own agenda to only include 'exciting' results (or you just haven't got the time to write up work that has the conclusion ""we're not sure""). That's why I've answered ""It should only be used rarely"" -- you shouldn't ever do this, but you may be a victim of circumstance and time pressures.","We all look at teh data but don't necessaril need to report all teh ways we looked at it","This looks like deception to me","This can be useful for validating assumptions and fitting a proper model. But it should never be used to test a model that just happens to have a low p value. P hacking is a really problem. ","The way this question is phrased is prejudicial. p&lt;0.05 does not imply p&lt;0.050. Significant digits should be considered. They question implies that reporting of only 2 significant digits is an attempt to ""meet a pre-specified threshold"" which is not true. It is a numerically accurate practice.","You can remove data points but justification should be based on the questions being asked and the validity of the data. However, some people may coincidentally test both data sets and that may be unavoidable.","This questions strikes me as odd because I think most people STOP collecting data if they find a significant relationship!","Usually, there are different statistical alternatives for doing a given analysis, and each have their pros and cons. I see no problem in testing different statistical methods, also as a mean to understand how they behave with real data.",NA,NA,NA
"333","the question is misleading: you've probably have meant the issue of multiple testing, whereas as stated it is a question about not writing a paper if there is nothing significant","We dont see negative results Published","This might be OK if it was predicted by others.","This crosses a line from framing a story to lying about the methods.","There's no need to do this, and I always state p-values to three significant figures. I get suspicious when I see it done and discourage my students from doing it (and I know they are taught to do it by some staff...)","You cannot clean up your data to better fit your initial expectations. You are cheating yourself and the community. ","This really depends on the hypothesis and the lab resources. Many cannot afford to continue sampling if results are not the expected. this is not ideal, but its unfortunately the truth. On the other hand, I always thing that collecting more data is positive, regardless of the statistical output","we may force our data to meet ""statistical support"" but the sample sizes we use are always well below of the real populations and thus we must be extremely cautious when supporting hypotheses",NA,NA,NA
"334","The question is perhaps mis-worded, as it doesn't distinguish between analysis that is exploratory vs academic dishonesty. I am answering assuming the former. While I don't think this ""should"" be done, it is an inevitable consequence of research, even when being careful. I cannot report every time I push enter in R and find a non-significant result while I am figuring out how to analyze my data. That simply isn't possible. I strive to be honest about so-called ""fishing expeditions"" and I would never bury a negative result that I felt was representative of honest exploratory effort. But lots of times I find a negative result, realize I did a test wrong, and change to another test. If I did a study that involved a lot of exploration, I would report the extent of exploration/fishing.","We have to avoid the relation significant = interesting and, of course, not significant = not interesting. This is more or less related to the preceding question and the previous understanding of your study.","This practice can sometimes allow for clearer communication of results.","This depends largely on the nature of the tests. Cherry-picking results to find the model supporting the preferred answer is clearly problematic. However, when dealing with complex data sets it can often be useful to try out various models to get a sense of how well they handle certain features of your data, and what variables might be important to consider. Under this situation (and assuming a certain level of caution is used), it can be beneficial to try multiple statistical models with out necessarily reporting those that work poorly and are uninformative.","There are better mathematics than simply the use of a p value. It is stretching the truth to modify the value to a better outcome for the authors. ","You need to have a very solid and justified explanation why values should be excluded. In my opinion it can only be done when the value can be excluded due to methodological reasons, e.g. obvious errors etc. But it cannot be done after looking for the significance level first...","This seems okay as long as the experimental design and analysis are still appropriate to the particular research question. Often a power analysis may reveal that sample sizes are too much and so an experiment gets repeated, or more sites added, to provide further support one way or another for a marginal p-value.","We should understand which test is the best one for our data a priori. And then take the output as the correct one. / The problem is that normally people does not understand the purposefulness of the test, and if the result doesn't like them, then they change to another test. / A more deep-understanding of statistics can maybe solve this (at least partially)?",NA,NA,NA
"335","The question is why a study failed significance. Maybe the original hypotheses were flawed or the methodology inappropriate. If the lack of significance indicates it could be either of those cases it may be best not to report in sight of the given uncertainty. Other times, journals based on peer reviews may simply not accept this type of studies as relevant.","we should have standard to have judgement ","This practice is misleading as it implies that a finding was based on a pre-determined hypothesis when in reality it was an unexpected outcome.  I think it is useful to report and consider such findings, but only in an honest context.","This does include things like choosing a transformation based on the data rather than a priori considerations of the biology. This is not great (inflated type I errors again) but isn't reall a sin if you say why you did it.","There are far more important things to worry about than the degree of rounding","You should always present the result on the entire dataset and then, eventually, present the results after eliminating some cases. Of course, you should motivate your choice of eliminating these cases.","This should never be used but always will be in ecology where a single person typically collects data over multiple years.","Well it depends why you made the change. Perhaps the original test turned out to be completely inappropriate. Yes, you saw the P value but you probably aren't making your decision on that basis. Furthermore, if you think a result will be significant from visual analysis and then it isn't, then you might look deeper into the technique and realize it is not the correct one.",NA,NA,NA
"336","The results are biased and overoptimistic.","When analysing data, you need to decide whether a question/variable is meaningful before looking for significance.","This practice is not really a problem. Though in reality the more direct statement that the researchers were surprised by the findings is a viable alternative.","This is a hard question - what does it mean to present the tests as ""the complete tested set""? I have not always presented all tests conducted. In most of my articles, this would be literally impossible. There are thousands, and we don't keep strict track of all of them (for example, if we try something and it is clear that the specification didn't work). However, I always make it clear that there are more tests than can be presented. Some journals make this hard by not permitting us to say ""data not shown."" However, I am very careful not to pick and choose the results so as to present a specific story that would not clearly emerge if all the results were considered together. I view it as part of my work as a researcher to conduct large numbers of tests and distill them down to their core message for readers. I am frustrated by the standard article format which seems to force me to present the research as if I had clear hypotheses going in - most of my research is exploratory. But I don't think anyone reading my papers would ever feel I was the least bit dishonest or misleading if they had access to every single analysis conducted.","There are rules for how many digits to use, mathematically. They should be followed.","You should jsutify why you exclude data independent of its statistical effects. ","This should only be used if there is a cost-benefit concern and the initial data collection was part of a pilot study","Well when there are several reasonable methods, it's OK to try them all, but I would say if some find significance and some don't, you should report them all.",NA,NA,NA
"337","The set of variables with a small test statistic (a big p) is very very much larger than the set with a large test statistic. I will not report all the variables with a small test stat.  /  / Statistics is done in science as support  tool for exploration and phenomenological understanding","When reporting a multivariate analysis, it is important to specify all the variables that were tested, and which were significant and which weren't. That said, I have done modelling analyses, where preliminary runs included everything including the kitchen sink. The final models presented in a paper might only include the significant variables. I think I have usually  reported the non-significant variables not used in the final model.","This practice is very problematic as the probability of rejecting a significant p-value is zero.","This is as much a philosophical problem as it is statistical.  / Is there only one 'best' model? Are there many competing 'good' models to compare and contrast? Do we care about informative, but low ranking models? / Working between two field - ecology and vet epidemiology - I see very differing perspectives on this problem. In ecology, there has been a recent trend in multi-model inference, presenting a number of highly ranked models, and the use of Information Criteria (AIC, BIC, QIC, DIC) to rank models.  / It may be impractical to report all models run - in fact, with a large multi-variable analysis with interactions, you may end up with hundreds or thousands of competing models.  /  / In epidemiology, there appears to be a more conservative, 'traditional' approach where parsimony is highly regarded, with approaches like forwards, backwards and stepwise model building approaches are still used.  Nested models are compared with likelihood ratio tests, and a small set of competing models maybe compared with AIC/BIC etc. However, generally the 'best' final model (or perhaps, the top 2 or 3 models) may only be reported. This appears to be to do with the goal of the analysis.  /  / Sometimes, I think [this is just an opinion], ecologists might be happy to be exploratory and open ended, whereas veterinary epidemiologists may desire to be more 'definitive' in the outcome, due to the pressures of the demands of their stakeholders [e.g. governments, vets, health professionals, farmers]","There are rules of how to round number. So follow them. However, in the text it has to be clarified that the values were rounded to so and so many digits.","You should think first about what to include in an analysis. Excluding a posteriori *because* you are not happy with the test result (if you have a better reason that you should have noticed a priori, but failed to, then that is okay, but must be explicitly reported) is plain p-hacking.","This to me seems not that unusual and close to doing a pilot study first, followed by a power analysis to determine desired sample size. Of course, stopping to collect data as soon as statistical significance is reached is more problematic, and more likely going to bias your results.","Well, the converse has also been true in my case; where we had significance using a certain test, but then applied another test and found results to not be significant. SO, I think this is okay as long as 1) the most appropriate test is ultimately converged upon, and 2) you don't have any asymmetry as to which direction you decide to explore the data (i.e. ""Let's stop as soon as we have significance!"")",NA,NA,NA
"338","The used variables will be always reported in the Methods, but then is possible to do not show in outputs of our results if not reach statistical significance","When space/time is limited, only the best stuff can be presented.","This practice makes it easier to read the paper. I do not think this practice is favorable, but I cannot come up with a reason against this practice.","This is cheating should not been used. If a subset of model is presenting it should be advertise and the full set need to be specified at least in the appendix","There are several published analyses that suggest this is rather more common than we would hope. e.g. Ridley et al. (2007) JEvolBiol 20 1082-1089",NA,"To increase the statistical power after any kind of a pre-study is not fault.","when the tests initially used are not the good one and after discussion with statisticians",NA,NA,NA
"339","Theoretically, ""non-significant"" effects are interesting, but it is hard to build a paper based on ""non significant"" effects only, except in situations where failure to reject a specific hypothesis is important. I have never failed to report ""non significant"" effects in a paper when other effects where ""significant"", but I have decided not to write a paper based on ""non-significant"" effects only. There should be space in journals, or a specific place for such results though.","When the covariates are not ecologically or biologically significant and are not primary study interstests - e.g., study sites (or replicates), no need to report them if no significant differences are found.","This practice should be usted because opens doors to new questions.","This is clear lying - stating the test set was one thing when it was another. I think this might be rare simply because few researchers are statistically literate enough to discuss the concept of a candidate model set (though I work in evol biol not ecology).","There is a threshold for a reason, and once it is exceeded IT IS EXCEEDED. / I do not support the use of strict p-values, or such arbitrary thresholds, so I think this is a bit of a silly question.  If you're going to work within a framework, you should work within the framework.",NA,"To make previous exploratory studies should be used frequently, not exactly to know if results are significant but to understand the system and classify potential influencing variables. The problem here is the difficulties to obtain a budget for this kind of assessments.","Who is to say that the first model was correct (i.e. least wrong)? / The whole point of statistical analysis is to find the best (whatever criteria is of interest) model to your data. So not trying several models is unwise. However one could question what evaluation criteria is used. E.g., just looking at coefficients might not be useful, but assessing different methods for fit could be useful.",NA,NA,NA
"340","There's a huge differences among studies where the experiment didn't work so you don't write it up (why bother wasting your time?), studies where you get a null-result (depends on the hypothesis), and reporting a non-significant variable in the model presented (should always do).","When there are many predictors and collinearity among them, some initial analyses might use some predictors that are, at the end, neither used nor reported. This might partly justify this practice. I used to do that occasionally when I was younger and inexperienced, but I try now to select my predictors very carefully before running any analyses, and then stick to them for the report of results.","This practice should not be used as it undermines the scientific method altogether - sometimes we find things we did not plan to find and yet they change our view of a field. Also, it sets a bad example to early career scientists.","This is dishonest and clearly wrong. ","There is always some rounding involved in reporting p-values. The number of digits varies by researchers. I would not round 0.041 to 0.05. I generally report about three digits after the decimal point.",NA,"Totally OK. Just makes sure the non-significance is not itself just a random fact.","Who says that the initially chosen analysis was the best way? ",NA,NA,NA
"341","there are a lot of potential derived metrics from your average data set, you start of with the big obvious ones (say abundance) and then move onto the ever more derived ones (e.g. rarefied SR, eveness, etc).  If all we ever did was look for the obvious and didn't fish around a bit the subtleties of how systems work would be missed on us.  The problem is that for your average paper the journal does not want 10-20 identical tests of subtlety different metrics so you have to pick and chose what goes in.  you try and be representative, but normally it will not be everything.  Likewise with any exploratory analysis, you present the one you ended up using, not every stage to get there.","Whether it should be done depends entirely on the nature of the question. For example, it the question is meant to be hypothesis generating, and you are searching through many variables, it is not necessary to list all possible parameters and statistical values. On the other hand, if the covariates were part of a pre-determined set of variables that were being tested as part of a larger theory, then all results should be reported. That is, the answer is very much context dependent. ","This practice should not be used because it does not reflect the ""optimal"" honest and rigorous process that should underly science, inasmuch as it increases the likelihood of spurious findings, biased effect sizes. Yet, there is a pressure to publish... and journals are more likely to publish success stories...","This is equivalent to dredging through data - statistics should be based on a-priori hypotheses and pre-defined experimental design, which includes the statistical model. ","There is no reason to omit the extra information.",NA,"Typical frequentist problem. Significance depends on sample size. We know that small samples don't say much. We find no significance, it could reflect sample size that's not large enough, so we change it. P-value inflation, but at the same time it can emerge from a real concern about sample size.","Why shouldn't one use different approaches? I do not see the point. Humans fail, or an expert (peer) tells me I could do better... /  / I may discover that I used a model that is not appropriate for the data (classical case try a linear regression, while the data are non-linear) ",NA,NA,NA
"342","There are a number of reasons not to publish negative results. Probably the most common one is that such results can be hard to get published unless they contradict previously published studies or widely accepted hypotheses.  Another reason is that perhaps the study did not have sufficient statistical power to detect a significant difference between treatments, in which case it might make more sense to wait until more data can be analyzed.","Whether or not this is appropriate is hugely dependent on the model selection framework that the authors choose. Whether model selection is itself appropriate, and under what conditions, is an almost philosophical problem - I'm not sure there can be a universal answer to whether this is right or wrong.","This requires some more nuance, I think. /  / Firstly, I find it wrong (and I don't think ever engaged in it) to sell a post-hoc result as a priori question. I see it justified by colleagues as ""you have to tell a story to lead the reader"". I agree about telling a story, but the story should not lie about the true train of events. /  / Secondly, I find it justified to add speculations and post-hockery to the original analysis -- as long as it is clearly marked as speculation and is placed in the discussion, not the results. But that is my interpretation of the role of the discussion. I think in the Good & Hardin book (Common Errors in Statistics) they write that it is the role of the statistician to ""forbid"" post-hockery, but the duty of the biologist to engage in it to further science. Just not sell it as a priori expectation.","This is one form of p-hacking. Unless there is very good reason to do this, it should be avoided.","There is nothing wrong with rounding 0.054 to 0.05. That's how rounding is done. What is wrong is to use an arbitrary criteria like 0.05 for acceptance. ",NA,"Typically it's just not practical or desirable; one might re-design the experiment with larger N, but it would typically be a total re-design and not just a repeat at higher N","Will bias results ",NA,NA,NA
"343","There are already too many papers out there, most of which people do not read before embarking on a study. However, sometimes the aim of the study to show that there has been no impact, in which lack of effect is important.","While I usually keep the covariate in the model no matter what-  I think this is fine to do as long as in your methods you specify that the covariate was in the model and you dropped it from the model if it wasn't significant. There at a long of spurious variable that are good to collect just to ensure they aren't modifying your results but if they don't I have no problem saying that and not wasting a lot of space reporting them. /  / (I also could be reading this wrong and ""not report"" means that the covariate is never even mentioned as being collected v.s. just not used in all the models in which case I haven't done that)","This seems disingenuous - also it does not benefit the paper. It is interesting when results are unexpected and presented as such.","This is part of the data mining, it is useful to get a feeling for your data set when trying lots of diffent ways to connect your data.","There might be cases I am aware of where researchers will in inaccurately portray p values in a less devious way, such as when p = 0.049 reporting p &lt; 0.05. While it is not incorrect, I think researchers may want to overemphasize significance but just reporting ""less than a threshold"". Of the two evils, I suppose this is the lesser. In any case, I know of no cases in my own work or colleagues where p values were purposefully rounded to meet significance. Although I suppose this would be hard to know unless you were actually involved with the stats!",NA,"Unless the authors account for multiple testing on the data, then this is not warranted. ","With discretion - if the model is not a good way to test your data, then it is good to figure out the best test. Particularly when learning new stats, it is easy to not use the proper model at first. ",NA,NA,NA
"344","there are many situation where this is important to not report such results. Notably when the data/experiment lacked the required statistical power. else we would just publish noise. And there is enough noise published. Otherwise, occasinaly this is really a strong negative result, which may not be super interesting (not challenging anything), but not publishing it may result in a publication bias having problematic consequences for metaanalysis. Hence, it looks like there is no general rule, and there is also the issue that publishing negative results is usually much more difficult in most journals (and for little advance or novelty)  ","Whole models should always be reported as well as the way to simplify them.","This should be always avoided, as any lie about the scientific process. If there is formal hypothesis testing, it also contributes to inflation of positive results. In some cases, changing the initial assumptions won't affect the conclusions, and it is more a question of getting the right logic to go through the publication process, a kind of ""white lie"". To be avoided but will be hard to get rid of.","This leads to inflated type I errors. One should always state what variables were assessed. / ","These are really arbitrary thresholds in the main, so this is fairly pointless stuff that just indicates some dishonesty in trying to make results appear more 'significant'",NA,"We are all time- and resource-limited.  Comparing results from different sample sizes can indicate / whether the 'negative' results are sample size-dependent.","would be if the test wasn't appropriate rather than if the test didnt show significance. / also maybe if you used conservative non-parametric tests & then found a way to do less conservative parametric tests",NA,NA,NA
"345","There can be good reason not to publish such results, for example if there are good reasons to think (in hindsight) that there were problems with the methodology or the design. Many researchers won't publish non-significant results based on solid methodologies and designs because they are perceived as harder to publish. This practice is problematic as it leads to publication bias.","Will bias results ","This turns more on personal honesty—as phrased. I think it is fine to suggest in an introduction that a prediction CAN be made (that wasn't initially made at the start of the study), but to actually state that the finding WAS predicted initially when it wasn't is dishonest, in my opinion.","This practice could be used in very binary type situations where there is hard biological evidence (e.g. genetics, development, etc) that there are few options. It should not be applied to behavioural sciences, e.g. behavioural ecology. ","These thresholds are arbitrary anyway, so no need to tune the p-values to meet these artificial thresholds.",NA,"We cannot publish without using this practive when we work on long term dataset (like bird survey).","You have to be careful of doing this, but data analysis is a lens or filter of the raw data. Disclosure needed.",NA,NA,NA
"346","There is a difference between studies and variables. The latter face the same issue as in Q1. As for studies, I have always been able to publish almost everything somewhere eventually. The key is making negative information interesting. ","winner's curse -&gt; false positive rate increased","This will take out the fun of being a scientist. I like surprises, which always lead to new discoveries. ","This practice has the potential of inflating type I error and false discovery rates. This is particularly true when corrections for multiple tests are required.","This is a difficult formulation of the question because there are appears to be two questions: is rounding done numerically in a way you suggest and is the reason for this to obtain specific threshold. I feel that researchers are not rounding p-values in order to meet a specific threshold but rather to follow established rounding rules (though also the first option may naturally happen). So, I think this latter type of rounding must happen often but not for the reason that is indicated in the question. I do not know how to answer in this case.",NA,"We regularly conduce pilot studies to test ideas and then follow up with a full study design based on those pilot results. I think pilot studies are invaluable.","You need to have very good reasons to change the statistics during the study and it should be based on the sampling design. Sometimes, you find new statistical tests which fit better to your sampling design.",NA,NA,NA
"347","There is a general bias in reporting positive rather than negative results, the latter are more difficult to publish. ","You can't avoid it. Without being aware of it, you naturally look for putative covariates explaining secondary patterns.","Those findings are really interesting, but should be reported as exploratory","This practice is just plain corrupt.  See Burnham and Anderson's treatise on model selection.  Any modeling effort has to begin by assembling _all_ the plausible models; likewise the report of that effort.","This is about the same as lying about results, so I hope this a very, very rare practice among scientists...",NA,"well look, significance depends on sample size, so it'll often make a stat bigger but without any real meaningful science associated with it. /  / Of course we get more samples, especially if sample size is small. If we think a certian process is occuring but n = 10 doesn't do it, well let's try more. But if I use 1000 and don't get it and go to 10,000 well forget it. That's like not a meaningful effect","You should explore our data in the better away. P value over rated. Other trings are more important",NA,NA,NA
"348","There is no obligation to report all your findings. If you're deliberately concealing information that contradicts a hypothesis or otherwise would be inconvenient, that is wrong. However, simply deciding a finding isn't worth pursuing or publishing because it's not interesting or would require too much time and money in terms of follow-up experiments to make it worth publishing, is fine and normal.","You can't test things and not report them.","To write a compelling paper, you don't tell the reader all the false starts you took. You tell a straightforward compelling story that focuses on the point of interest.","This practice is misleading as it does not provide information on all models considered in the analysis.  ","This is again a consequence, in my opinion, of a misguided understanding of alternative conceptual/epistemological framework in data analyses. Although we learn in graduate and undergrad courses all about hypothesis testing and P-values, we never learn about likelihood and Bayesian approaches of model selection, for example (this is changing...). Anyway, our mind always work like the last, but we report results (artificially) as the former...This is a nice issue.",NA,"Well, if there genuinely wasn't much data in the first place then fine. But otherwise it is a dishonest practice and an attempt to fit the data to the researchers' hypotheses. ","You should test different models when available and not just settle on the first one",NA,NA,NA
"349","There will be situations where you have limited power, in which case a non-significant result isn't necessarily informative. These are things that I would flag for ""further study"" or suggest ""gathering more data"" rather than publishing outright.","you have to test something to know something","Type I error rate is correctly estimated only if we test a priori predictions","This practice should be used, of course. / ","This is cheating the results. ",NA,"Well, this could be classified as curiosity driven research. Of course, the danger is that not more data are collected when p=.049, but only when p=.051, leading to a small bias. This small bias, however, should also be weighted against having more data, which is generally a good thing, provided that the extension of the study is done diligently.","You should use the appropriate statistical test, not switch to a less-appropriate test to mine for significance.",NA,NA,NA
"350","These data are just as important as the statistically-significant findings.  Also, given the somewhat arbitrary nature of the cut-offs for significance testing, reporting all values can allow readers to better assess the relative importance of all variables.  ","You should always be completely transparent about the full analysis process underpinning the results you are reporting.","Unexpected discovers are a great source of new knowledge. The illusion that science mostly proceeds down expected paths creates an expectation in the public and politicians that research is only valuable if outcomes can be predicted beforehand. ","This practice should not be used because it increases the risk of Type 1 error and publication bias.","This is clearly unethical.",NA,"Well, with really expensive assays, one is always looking for the minimum effective range. Sometimes, if there is a trend towards significance, but the sample size is too small, I have added more samples to see how the data shapes up.",NA,NA,NA,NA
"351","These results are as important than those reaching the threshold. Unfortunately, many journals are not willing to publish studies that show no relationship between variables. But, if we cannot get these results published, other researchers might waste their time and effort by studying the same questions again. ","You should report all results, even non-significant ones, in the main or in the supp. However, I don't think this practice always result from a willingness to mislead (e.g.article length limit).","Unexpected findings are findings anyway and, if they fit in the study aims, I see no reason to report it. However, care must be taken as this practice shouldn't be the rule. In general, I believe ecologists shall try to encompass most of their ideas under clear hypothesis/questions. ","This practice should not be used. Yet, models have to be fitted in order to assess if their underlying assumptions are met. If the assumptions are not met, or collnearity problems are found, it could lead to some models being left out... Although these should be mentioned in the text.","This is dishonest and should never be done. It must be said, however, that the obsession for statistical thresholds and the naiveness of some referees might push dishonest people in doing that.",NA,"What should be used is an inspection of the confidence interval. If the confidence interval is adequately tight - and ideally that is predetermined a priori - then stop. ",NA,NA,NA,NA
"352","This amounts to a fishing expedition.","You should report the effect size and p-value of all parameters in your model","Unexpected findings could bring new research ideas!","This statement raises questions about what work a scientist reports in a given paper. The models that I report in a paper are informed by my entire life-experience, including experiences of fitting exploratory models to the data I'm reporting in the paper, models I fitted to before deciding exactly which filters to apply to the data featured in this paper, and models I may have fitted to similar sets of data.  It seems wise to strike a balance between describing all these vaguely-related models, and only describing the best-fitting model(s). /  / As in the previous Q, there seems to be a suggestion here that some dishonesty is involved, which in my opinion confuses the interesting issue.","This is especially useful when p values appear too strong, e.g. 0.000001",NA,"when testing methods it should be OK.",NA,NA,NA,NA
